id	filename	md5	size	state
18bb668e-d9b1-41c8-b42c-95308ed53304	18bb668e-d9b1-41c8-b42c-95308ed53304/88265559-fdaa-4b3c-be75-4150fd7d0919.mirbase21.mirnas.quantification.txt	2605606549df0bfc0073a73875c9115d	50538	validated
1cb86516-e60b-4fd6-97dd-035daab4cf03	1cb86516-e60b-4fd6-97dd-035daab4cf03/e8571f54-02ba-4441-873e-21d6a469c467.mirbase21.mirnas.quantification.txt	5e9f23b1bb1b7f7db931d995d0386b66	50701	validated
1e8ae8f4-78e4-4b7e-8511-3f9b91e01ba7	1e8ae8f4-78e4-4b7e-8511-3f9b91e01ba7/f3113a0d-1375-479a-927e-6deabe896b0f.mirbase21.mirnas.quantification.txt	916571e78d619226d5446fd7230b6e36	50724	validated
2bd42c92-8f02-44bf-9b6b-10e5dcc3869d	2bd42c92-8f02-44bf-9b6b-10e5dcc3869d/84edb314-a9a1-4b62-bd5f-a5ce012f898a.mirbase21.mirnas.quantification.txt	b95e14cc9133fac1edc048bf06fb2d31	50706	validated
2da5e479-d9c3-44d9-b807-bd456a7b864f	2da5e479-d9c3-44d9-b807-bd456a7b864f/d6f28c7c-1f32-4b13-ac5f-1f2152d7d6fe.mirbase21.mirnas.quantification.txt	e9d95be53f7f5fa2e36508be6c0cff21	50347	validated
3b72a730-522f-4618-8b55-2b04a0b08940	3b72a730-522f-4618-8b55-2b04a0b08940/edeee956-e0c4-4afd-ac2b-a80967e42ebf.mirbase21.mirnas.quantification.txt	2cd658f774de6c0064ab61e13b54ff8d	50778	validated
3e866202-d8f3-4144-87d9-87711a1f0d84	3e866202-d8f3-4144-87d9-87711a1f0d84/3b2a1989-c8fa-40db-b58d-80c7c88b99ad.mirbase21.mirnas.quantification.txt	fa1ac92218813415e3b03e84126560d4	50749	validated
4aa6b8f8-0731-4875-9aff-4f6ac3663718	4aa6b8f8-0731-4875-9aff-4f6ac3663718/18e8355b-196c-4303-9756-ccf93b0eba50.mirbase21.mirnas.quantification.txt	c2ea3b01042437498484e4a6f88d6060	50712	validated
4efa7f3e-f9d1-4b21-8532-32e689c8bd0f	4efa7f3e-f9d1-4b21-8532-32e689c8bd0f/abc69160-3c5e-4b01-a7a8-50db65c4dca3.mirbase21.mirnas.quantification.txt	fa5cb87d2a9543f75b218693f0bee361	50645	validated
59788e92-4eef-4cca-8960-2e8fd8e20a60	59788e92-4eef-4cca-8960-2e8fd8e20a60/0ad548ff-188d-404b-8589-cba9c88fde42.mirbase21.mirnas.quantification.txt	2934de27cb56af52a6f3fd9deee3ffd7	50469	validated
